rank,feature,mean_abs_shap
212,P_Dur_aVL,0.0006663926346108952
213,T-_Amp_V1,0.0006647390750812134
214,P_DurFull_V5,0.0006627355507435516
215,QRS_Area_II,0.0006589603203033899
216,T+_Dur_aVF,0.0006542463188429262
217,T_DurFull_V3,0.0006533366189809688
218,T_Off_II,0.0006441508407969095
219,T_PeakTime_V1,0.0006436516442915708
220,T_PeakTime_II,0.0006426173625739274
221,T_DurFull_aVF,0.000642006720475935
222,T_Dur_aVF,0.0006416529966022574
223,R_Dur_aVF,0.0006376654832565585
224,P_DurFull_aVF,0.0006371120775188008
225,P+_Amp_III,0.0006370992609515459
226,R_Amp_II,0.0006281393083783626
227,T_Morph_III,0.0006279755738985105
228,T_AreaFull_V6,0.0006279346911646677
229,R_Dur_V5,0.0006258261623762935
230,QRS_AmpPP_aVL,0.0006236513571156947
231,R_Amp_aVR,0.000623001836296579
232,ST_Amp116_V5,0.0006186093129154575
233,QRS_Balance_aVR,0.0006180150525675517
234,Q_PeakTime_I,0.0006146577965129182
235,T+_Dur_V4,0.0006141410051132551
236,S_PeakTime_aVR,0.0006129406261294478
237,P_Dur_V4,0.0006128857379317885
238,R_PeakTime_II,0.0006122895690366036
239,S_Dur_II,0.0006116711641536508
240,T_Amp_aVR,0.0006104400498983398
241,ST_AmpMin_V2,0.0006087939081518802
242,QRS_AmpPP_II,0.000605838148729003
243,P_Dur_V3,0.0006045783678730065
244,T_Off_V3,0.0006045423153832629
245,P_AreaFull_V2,0.0006016717654887946
246,Q_Area_aVL,0.0006016233532059951
247,Q_PeakTime_V4,0.0006012345757810503
248,T+_Dur_aVL,0.0006001488207449374
249,S_Amp_aVL,0.0005979787176399675
250,QRS_AmpPP_aVR,0.0005965779035455741
251,ST_AmpMax_III,0.0005861414263860947
252,T_Area_aVR,0.0005859945255481952
253,Q_PeakTime_II,0.0005859854512341448
254,T_Amp_I,0.0005842424633143611
255,R_PeakTime_V6,0.0005813696615548021
256,QT_IntFramingham_Global,0.0005812006691144997
257,P_OnsAmp_III,0.0005811062155430045
258,P_DurFull_V3,0.0005765351788499493
259,Q_Area_V6,0.0005753886159460528
260,T_Off_V4,0.0005683631632976302
261,P_Amp_V6,0.0005670855677650504
262,P_AxisFront_Global,0.0005656009810824594
263,P-_Amp_V1,0.0005558822380449667
264,Max_R_Amp_I,0.0005555383190852215
265,R_PeakTime_V4,0.0005553733967116466
266,P+_Dur_aVL,0.0005532748115534638
267,Q_Dur_aVL,0.0005511895234762616
268,ST_Amp116_I,0.0005497980220336921
269,R_PeakTime_I,0.0005494158499151432
270,S_Area_V6,0.0005487912242168591
271,T_DurFull_aVL,0.0005477823093046894
272,Q_PeakTime_aVF,0.0005462823786745039
273,R_Dur_V6,0.0005415045697140294
274,R_PeakTime_V5,0.0005414691892055038
275,QRS_Area_aVF,0.0005408080750320948
276,P_Morph_V2,0.0005402513877325912
277,T_PeakTime_aVR,0.0005388376056458768
278,Q_Dur_I,0.000532446979899723
279,P_OnsAmp_I,0.0005322467832648507
280,Max_S_Amp_V6,0.0005320441359782897
281,T+_Amp_V4,0.0005319577809180901
282,P_AreaFull_III,0.0005299047334950887
283,Max_S_Amp_I,0.0005297543971205586
284,ST_Amp18_I,0.0005284324830913311
285,P_Dur_aVF,0.0005242964152351286
286,P+_Amp_aVL,0.0005229059352290131
287,R_Amp_I,0.0005156185042427087
288,ST_AmpMin_V4,0.0005149842565672141
289,ST_Amp18_III,0.0005108674909723073
290,Q_On_Global,0.000508645760402323
291,T_Off_V2,0.0005070369034814296
292,R_Dur_II,0.0005064800852180331
293,ST_Amp18_aVL,0.0005054601264500761
294,Q_Area_aVF,0.000504795932725465
295,T_Off_aVL,0.0005046197415078285
296,T_AreaFull_aVL,0.0005039233820519028
297,P-_Dur_II,0.0005028413896360424
298,T_PeakTime_V5,0.0005025570280747432
299,P_PeakTime_V1,0.0005025227022072407
300,P_DurFull_aVL,0.0005023914111770064
301,S_Amp_V6,0.0005015082676582913
302,T-_Dur_III,0.0005013558930065464
303,T_AmpSpecial_aVL,0.0004998812413639593
304,T_Off_aVF,0.0004983709910542824
305,S_PeakTime_V2,0.0004976779834685773
306,T_AmpSpecial_II,0.0004973517828003254
307,ST_Amp_V2,0.0004963467369700708
